dataset,model,accuracy,precision,recall
heart,decision tree,1.000,1.000,1.000
heart,random forest,1.000,1.000,1.000
heart,neural network,1.000,1.000,1.000
heart numeric,decision tree,1.000,1.000,1.000
heart numeric,random forest,1.000,1.000,1.000
heart numeric,neural network,1.000,1.000,1.000
heart categorical,decision tree,0.999,0.998,1.000
heart categorical,random forest,1.000,1.000,1.000
heart categorical,neural network,1.000,1.000,1.000
census,decision tree,0.998,0.995,1.000
census,random forest,1.000,0.999,1.000
census,neural network,1.000,1.000,1.000
census numeric,decision tree,0.985,0.970,1.000
census numeric,random forest,0.969,0.942,1.000
census numeric,neural network,0.881,0.807,1.000
census categorical,decision tree,1.000,1.000,1.000
census categorical,random forest,1.000,1.000,1.000
census categorical,neural network,1.000,1.000,1.000
